Resume ID,Company,Dates,total_gap_years,gap_greater_equal_2_years
127,"['Accountant\n\nCompany Name\n', 'Accountant\n\nCompany Name\n', 'Accountant\n\nCompany Name\n']","['2009to2024', '2007to2009', '1997to2007']",0,False
129,"['Senior Executive - Finance\n\nCompany Name\n', 'Accounts Executive\n\nCompany Name\n']","['2008to2015', '2005to2008']",0,False
131,"['Senior HR Manager\n\n,\n', 'Executive Assistant III\n\n,\n', 'Human Resources Coordinator\n\n,\n', 'Financial Operations Assistant\n\n,\n']","['2006to2024', '2005to2006', '2004to2005', '2002to2004']",0,False
132,"['Senior Director of Finance\n\nCompany Name\n\n', 'Director of Strategic Initiatives\n\nCompany Name\n\n', 'Process Improvement Engineer\n\nCompany Name\n\n']","['2012to2016', '2009to2012', '2006to2009']",0,False
133,"['Operation Manager\n\n,\n', 'General Manager\n\n,\n', 'Logistic Manager\n\n,\n']","['2013to2024', '2012to2012', '2009to2012']",0,False
135,"['Chief Operating Officer\n\nCompany Name\n\n', 'MM annually.\nCompany Name\n\n']","['2008to2010', '1998to2008']",0,False
137,"['Accountant\n\nCompany Name\n\n', 'Staff Accountant\n\nCompany Name\n\n', 'Package Handler\n\nCompany Name\n\n']","['2014to2024', '2010to2014', '2007to2010']",0,False
142,,['to2024'],0,False
143,"[""Protects organization's value by keeping information confidential.\nCompany Name\n\n"", ' journal entry process, reducing closing time by a day.\nCompany Name\n\n', 'â€¢Streamlined the banking process to increase cash flow for domestic and overseas business.\nCompany Name\n\n']","['2007to2024', '2002to2007', '1995to2002']",0,False
146,"['Operations Manager\n\nCompany Name\n', 'Healthcare Business Director\n\nCompany Name\n', 'Business Director\n\nCompany Name\n', 'Business Manager\n\nCompany Name\n', 'staff/Business office\n\nCompany Name\n']","['2004to2008', '2000to2004', '1993to2000', '1989to1993', '1986to1989']",0,False
147,"['Finance Controller\n\nCompany Name\n\n', 'Division Controller\n\nCompany Name\n\n', 'Corporate Controller\n\nCompany Name\n\n', 'Senior Accounting Consultant\n\nCompany Name\n\n', 'Senior Business Analyst\n\nCompany Name\n\n', 'Finance Director Education and Client Support Services\n\nCompany Name\n\n']","['2014to2024', '2008to2014', '2002to2008', '2001to2002', '2000to2001', '1996to2000']",0,False
149,"['HR Representative\n\nCompany Name\n', 'Human Resources Supervisor/ Staffing Coordinator Human Resource Representative\n\nCompany Name\n', 'Served as a human resources advisor for Chaska plant when they were without a HR Manager.\n10/2011\n\nto\n06/2013']","['2016to2024', '2013to2016', '2011to2013']",0,False
15,"['Finance and Operations Manager\n\n,\n', 'Financial Analyst\n\n,\n', 'Finance and Operations Manager\n\n,\n', 'Financial Analyst\n\n,\n']","['2017to2024', '2017to2024', '2013to2014', '2013to2014']",0,False
152,"['Accountant\n,\n', 'Accountant / Executive Assistant\n\n,\n', 'Accountant / Medical Billing & Collections Supervisor\n\n,\n', 'Accountant / Executive Assistant\n\n,\n']","['2014to2024', '2010to2013', '2008to2010', '2005to2007']",0,False
153,"['Finance Analyst\n\nCompany Name\n\n', 'Claim Representative\n\nCompany Name\n\n', 'Intern\n\nCompany Name\n\n']","['2013to2024', '2011to2013', '2010to2010']",0,False
154,"['Accountant\n\nCompany Name\n', 'Customer service representative\n\nCompany Name\n', '\nBack office Trainer for new hiring retailers till\n']","['2006to2008', '2004to2006', '2001to2004']",0,False
156,,['to2024'],0,False
161,"['Family and Community Advocate\n\nCompany Name\n', 'Substance Abuse Counselor\n\nCompany Name\n', 'Case Manager\n\nCompany Name\n', 'Lead Case Manager\n\nCompany Name\n', 'Therapist\n\nCompany Name\n', 'Psychotherapist\n\nCompany Name\n']","['2015to2017', '2009to2011', '2008to2009', '2004to2008', '2000to2004', '1998to2001']",4,True
169,"['Information Technology Manager / Network Engineer\n\nCompany Name\n\n', 'Network Engineer\n\nCompany Name\n\n', 'Network Support Technician\n\nCompany Name\n\n']","['2006to2024', '2003to2006', '2003to2003']",0,False
17,"['Finance Manager\n\nCompany Name\n\n', 'Owner\n\nCompany Name\n\n', 'Director\n\nCompany Name\n\n', 'Senior and Special Projects Auditor\n\nCompany Name\n\n', 'Controller\n\nCompany Name\n\n', 'Controller\nCompany Name\n\n']","['2004to2011', '2001to2004', '1988to2001', '1979to1987', '1978to1979', '1976to1977']",0,False
172,"['+ employees.\nHR Assistant\n\n', 'Assist with New Employee Orientations.\nORCD Office Coordinator\n\n', 'â€¢Extensive working knowledge of computer programs (ie; Microsoft Word, Excel, Access, etc.)\nInside Sales/ Administrative Support\n\n']","['2014to2015', '2012to2014', '2010to2012']",0,False
174,"['Finance Coordinator\n\nCompany NameResponsible for the preparation of bi-weekly payroll including retirement plans, termination, union dues as well as resolving insurance issues\n', 'Accountant\n\nCompany Name\n', 'Senior Accountant\n\nCompany Name\n']","['2010to2024', '2007to2010', '1994to2006']",0,False
178,"['State\n\n//\n\n', 'State\n\n//\n\n', 'State\n\n//\n\n']","['2014to2024', '2008to2014', '2004to2007']",0,False
180,['HR Executive\n\nCompany Name\n'],['2012to2014'],0,False
181,"['Company Name\n\nStaff Accountant\n\n', 'Company Name\n\nExecutive Administrative Assistant\n\n']","['2012to2014', '2006to2012']",0,False
182,"['Company Name\nIT Specialist Project Engineer\n\n', 'proposed solutions to faults identified in the SAT to ensure continuity of new and existing systems and compliance with user requirements.\nSystems Integration Analyst\n\n', 'Reviewed project documentation and ensured contract deliverables were complete and delivered accurately and on time as specified in the\nAcquisition Requirements Package (ARP).\n']","['2009to2024', '2009to2009', '2001to2009']",0,False
183,"['HR Director\n\nCompany Name\n\n', 'HR Director\n\nCompany Name\n\n', 'HR Manager/Sr. Recruiter\n\nCompany Name\n\n', 'Human Resources Coordinator\n\nCompany Name\n\n']","['2016to2024', '2009to2016', '2003to2006', '1996to2000']",0,False
186,"['Director of HR\n\nCompany Name\n\n', 'Vice President and Director of Human Resources and Administration\n\nCompany Name\n\n', 'Business Manager\n\nCompany Name\n\n', 'Vice President/Business Manager\n\nCompany Name\n']","['2013to2024', '2006to2013', '2001to2006', '1988to2001']",0,False
188,"['Finance Assistant\n\nCompany Name\n\n', 'Catering Specialist\n\nCompany Name\n\n', 'Customer service representative/driver/food line\n\nCompany Name\n\n']","['2013to2013', '2012to2012', '2009to2011']",0,False
191,"['Finance Manager\n\nCompany Name\n', 'Staff Accountant\n\nCompany Name\n', 'Accountant\n\nCompany Name\n', 'Auditor / Manager\n\nCompany Name\n', 'Staff Accountant\n\nCompany Name\n']","['2015to2017', '2012to2015', '2000to2015', '1993to2000', '1991to1993']",0,False
192,"['Human Resources professional\n\nCompany Name\n', 'Onsite Supervisor\n\nCompany Name\n', 'Negotiator\n\nCompany Name\n']","['2018to2021', '2016to2017', '2015to2016']",0,False
194,"['Accountant\n\nCompany Name\n\n', 'Retail and Wholesale Clothing Merchandiser Accounting Assistant\n\nCompany Name\n\n', 'Stock Clerk\n\nCompany Name\n\n', 'Restaurant Operations Manager\n\nCompany Name\n\n']","['2016to2024', '2015to2016', '2010to2011', '1996to2004']",0,False
195,"['Information Technology Specialist\n\nCompany Name\n\n', 'IT Systems Administrator\n\nCompany Name\n\n', 'Field Service Technician II\n\nCompany Name\n\n', 'Kodak Imaging Expert / Field Marketing Specialist\n\nCompany Name\n\n', 'Merchandising / Marketing Specialist\n\nCompany Name\n\n', 'Digital Imaging Specialist\n\nCompany Name\n\n', 'Business Machines Sales Associate\n\nCompany Name\n\n']","['2012to2024', '2009to2011', '2008to2012', '2006to2009', '2005to2007', '2005to2006', '2002to2005']",0,False
20,"['HR Manager\n\n,\n', 'Sr. HR Generalist\n\n,\n', 'Benefits Administrator\n\n,\n', 'Human Resources Supervisor\n\n,\n', 'Human Resources Generalist/Administrative Assistant\n\n,\n', 'Human Resources Assistant\n\n,\n']","['2016to2024', '2015to2016', '2014to2014', '2013to2014', '2013to2013', '2008to2013']",0,False
203,"['Company Name\n\nDirector of Finance\n\n', 'I currently supervise a team of three supervisors and six accountants.\nUnit Business Manager - Intermediate\n\n', 'I worked directly in the development of grant and contract proposals.\nUnit Business Manager\n\n', 'publications in accordance with the editors preferred style.\nProgram Assistant Senior\n\n', 'duties as required by the staff and/or Center members.\nService Delivery Coordinator\n\n', ""In the billing department, I worked directly with the customers to answer their questions and/or to resolve their complaints.\nTeacher/Teacher's Aid\n\n"", 'I taught Microsoft Office products, such as Excel, Word, Access, Outlook, and Windows, Wilton Cake Decorating and other AdultEducation Classes.\nSecretary/Owner\n\n', 'business.\nOwner/Operator\n\n', 'financial aspects including financial reports and taxes.\nSecretary/State Network Liaison\n\n', 'I was appointed liaison for setting up the county- wide computers for their new state wide computer system.\nSecretary\n\n', 'receiving telephone calls, issuing personnel reports, and general secretarial duties.\nExecutive Secretary\n\n']","['2017to2024', '2011to2017', '2010to2010', '2007to2010', '2006to2007', '2004to2007', '2000to2008', '1997to2004', '1996to1997', '1991to1996', '1990to1991']",0,False
204,"['State\n\nHR Manager\n\n', 'State\n\nOffice Operations Manager\n\n', 'State\n\nCustomer Support Manager\n\n', 'State\n\nTeller\n\n', 'State\n\nRetail Support\n\n', 'State\n\nAdministration / Customer Services / Mentor\n\n', 'State\n\nFlight Attendant/Purser\n\n']","['2015to2024', '2013to2015', '2012to2013', '2010to2011', '2008to2010', '2007to2008', '1998to2007']",0,False
205,"['Accountant\n\nCompany Name\n\n', 'Administrative Assistant\n\nCompany Name\n\n', 'Accounting Manager\n\nCompany Name\n\n', 'Administrative Assistant And Billing Specialist\n\nCompany Name\n\n']","['2012to2024', '2006to2011', '2005to2006', '1997to2004']",0,False
206,"['Company Name\n\nFinancial Analyst\n\n', 'Company Name\n\nInvestment Banking Summer Analyst\n\n', 'Company Name\n\nCo-President\n\n']","['2015to2024', '2014to2014', '2013to2014']",0,False
208,"['Fitness Manager\n\n,\n', 'Fitness Manager/ Master Trainer\n\n,\n', 'Personal Trainer\n\n,\n']","['2013to2014', '2010to2013', '2008to2010']",0,False
209,"['VP of Finance\n\nCompany Name\n\n', 'Managing Partner\n\nCompany Name\n\n', 'VP of Finance / Controller\n\nCompany Name\n\n', 'Director of Business Operations\n\nCompany Name\n\n']","['2014to2024', '2012to2013', '2010to2012', '2005to2009']",0,False
214,,['to2024'],0,False
215,,['to2024'],0,False
217,['ACCOUNTANT\n\nCompany Name\n'],['2014to2024'],0,False
220,"['Director of Information Technology and Analytics\n\nCompany Name\n\n', 'Information Technology Manager\n\nCompany Name\n\n', 'Systems Administrator\n\nCompany Name\n\n', 'Data/Systems Administrator\n\nCompany Name\n\n']","['2005to2024', '2002to2005', '2000to2002', '1998to2000']",0,False
223,"['Critical Thinking\nGroup Exercise Fitness Instructor\n\n', 'Demonstrate the correct way to use exercise equipment\nAdministrator Support Assistant II\n\n', 'Transferred important documents to the appropriate department when requested.\nAdministrator Support Assistant II\n\n', 'Completed projects assigned by staff\nNursery Director\n\n', 'Ensured background checks were performed for volunteerâ€‹â€‹\nData Entry Operator\n\n']","['2009to2024', '2009to2024', '2005to2006', '2003to2004', '2001to2008']",0,False
228,"['Project Accountant\n\nCompany Name\n\n', 'Office Administrator\n\nCompany Name\n\n', 'Staff Accountant\n\nCompany Name\n\n', 'Office Administrator\n\nCompany Name\n\n', 'Project Accountant\n\nCompany Name\n\n']","['2015to2024', '2013to2014', '2011to2013', '2008to2010', '2005to2008']",0,False
229,"['HR Specialist\n\nCompany Name\n\n', 'HR Specialist\n\nCompany Name\n\n', 'HR Assistant\n\nCompany Name\n\n']","['2016to2024', '2013to2016', '2011to2013']",0,False
230,"['Advocate\n\nCompany Name\n', 'CSR II\n\nCompany Name\n', 'Business Banker\n\nCompany Name\n', 'Life Enrichment Coordinator/Marketing Coordinator\n\nCompany Name\n']","['2016to2024', '2015to2016', '2013to2015', '2004to2013']",0,False
24,"['State\n\nDirector of Finance\n\n', 'State\n\nFinancial Planning and Analysis Manager\n\n', 'State\n\nAccounting Supervisor\n\n', 'State\n\nSenior Productivity Analyst\n\n', 'State\n\nAudit Consultant\n\n', 'State\n\nFinancial Analyst / Senior GL Account\n\n', 'State\n\nCost Accountant\n\n', 'State\n\nSales Manager\n\n']","['2014to2024', '2011to2014', '2010to2011', '2008to2010', '2007to2008', '2006to2007', '2005to2006', '2002to2003']",0,False
240,"['HR Services Representative\n\nCompany Name\n', 'Teller/Customer Service Representative (HEART Trainee)\n\nCompany Name\n']","['2012to2024', '2010to2011']",0,False
242,"['Global HR Manager\n\nCompany Name\n\n', 'Global HR Analyst\n\nCompany Name\n\n', 'HR Generalist\n\nCompany Name\n\n', 'HR Generalist\n\nCompany Name\n\n', 'HR Specialist\n\nCompany Name\n\n']","['2012to2015', '2010to2012', '2009to2010', '2006to2008', '2003to2006']",0,False
246,"['Accountant II\n\nCompany Name\n', 'Senior Accountant (TEMP)\n\nCompany Name\n', 'Accountant (TEMP)\n\nCompany Name\n', 'Staff Accountant (TEMP)\n\nCompany Name\n', 'Junior Accountant (TEMP)\n\nCompany Name\n', 'Equity Research Analyst (TEMP)\n\nCompany Name\n', 'Bookkeeper (TEMP)\n\nCompany Name\n', 'Operation Budget (INTERN)\n\nCompany Name\n']","['2014to2016', '2013to2013', '2012to2013', '2011to2012', '2010to2011', '2009to2010', '2009to2009', '2008to2009']",0,False
255,,['to2024'],0,False
256,['May lead and direct the work of others.\nCompany Name\n\n'],['2016to2016'],0,False
258,"['Manager, Finance\n\nCompany Name\n\n', 'Capital Funds Accountant\n\nCompany Name\n\n', 'Senior Financial Analyst\n\nCompany Name\n\n', 'Chargeback Analyst\n\nCompany Name\n\n']","['2007to2024', '1999to2007', '1997to1999', '1995to1997']",0,False
259,"['Senior Accountant\n\nCompany Name\n\n', 'Finance Associate\n\nCompany Name\n\n', 'Assist with special projects.\nCompany Name\n\n']","['2015to2024', '2011to2015', '2010to2011']",0,False
26,"['State\n\nHR Manager\n\n', 'State\n\nHR Coordinator/Assistant\n\n', 'State\n\nHR Representative\n\n', 'State\n\nSr. Executive Assistant\n\n', 'State\n\nSR. Executive Assistant\n\n', 'State\n\nHuman Resource Regional Assistant\n\n']","['2012to2015', '2011to2012', '2009to2011', '2007to2008', '2002to2006', '1998to2002']",0,False
260,"['Patient Advocate\n\nCompany Name\n\n', 'Insurance Agent\n\nCompany Name\n\n', 'Debt Collector\n\nCompany Name\n\n', ' calls in queue per minute.\nCompany Name\n\n']","['2015to2017', '2014to2015', '2014to2014', '2013to2014']",0,False
261,"['Presently working as Finance Manager at Moevenpick Hotel Sukhumvit 15 Bangkok.\nWorked for Ramada Hotel and Suites Bangkok, Wyndham group 1st managed hotel in Asia as a Finance Manager.\n', 'Deputy Manager\n\n01/1980\n']","['2010to2014', '2006to2007']",3,True
263,['General Accountant\nTreasury Manager\n'],['2016to2016'],0,False
264,"['Customer Service Representative\n\nCompany Name\n\n', 'Customer Service Representative\n\nCompany Name\n\n', 'Customer Service Representative\n\nCompany Name\n\n', 'Customer Service\n\nCompany Name\n\n', 'Agent\n\nCompany Name\n\n', 'Floor Sales Associate\n\nCompany Name\n\n', 'Healthcare Provider\n\nCompany Name\n\n', 'Healthcare Provider\n\nCompany Name\n\n']","['2014to2015', '2013to2014', '2011to2013', '2009to2010', '2006to2009', '2004to2005', '1999to2001', '1999to1999']",0,False
266,"['Finance Specialist\n\nCompany Name\n', 'Financial Accountant\n\nCompany Name\n', 'Associate Auditor\n\nCompany Name\n', 'Audit Staff\n\nDaily allowance of PHP50\n']","['2014to2015', '2008to2011', '2006to2008', '2005to2005']",3,True
267,"['Customer Service Advocate\n\nCompany Name\n\n', 'Collection Specialist II\n\nCompany Name\n\n', 'Teller/Sales Associate\n\nCompany Name\n\n', 'Collections Specialist\n\nCompany Name\n\n', 'Dispatcher\n\nCompany Name\n\n', 'Customer Service /Sales Associate\n\nCompany Name\n\n', 'Inside Sale Representative\n\nCompany Name\n\n']","['2015to2015', '2014to2015', '2012to2013', '2010to2012', '2008to2009', '2007to2008', '2004to2006']",0,False
27,"['Group Fitness Coordinator\n\nCompany Name\n', 'Private Childcare Provider\n\nCity\n\n', 'Fitness Instructor\n\nYMCA of the Suncoast, Highland Recreation Complex\n']","['2012to2015', '2011to2024', '2011to2024']",0,False
270,"['\nHR Customer Service Representative\n\n', ' days.\nConsultant Project Manager\n\n', '% for this start-up venture.\nLiaison Officer\n\n']","['2012to2024', '2009to2012', '2006to2009']",0,False
271,"['Finance Director\n\nCompany Name\n\n', 'Finance Director\n\nCompany Name\n\n', 'Associate Finance Director\n\nCompany Name\n\n', 'Finance Manager\n\nCompany Name\n\n', 'Finance Manager\n\nCompany Name\n\n', 'Senior Financial Analyst\n\nCompany Name\n\n', 'Senior Financial Analyst\n\nCompany Name\n\n', 'Senior Internal Auditor\n\nCompany Name\n\n']","['2014to2024', '2013to2014', '2011to2012', '2008to2011', '2007to2008', '2006to2007', '2004to2006', '2002to2004']",0,False
274,"['Operations Manager\n\nCompany Name\n\n', 'Management Assistant\n\nCompany Name\n\n', 'Fleet Service Clerk\n\nCompany Name\n\n', 'Personal Fitness trainer\n\nCompany Name\n\n']","['2002to2024', '2000to2002', '1998to2002', '1997to2002']",0,False
276,[],['to2024'],0,False
277,,['to2024'],0,False
281,"['Information Technology Manager/Analyst\n\n,\n', 'Manager\n\n,\n', 'Web Communications Manager\n\n,\n']","['2006to2024', '2003to2006', '1999to2003']",0,False
282,,['to2024'],0,False
283,"['Accountant\n\nCompany Name\n\n', 'Accounts Receivable Clerk\n\nCompany Name\n\n', 'Mortgage Underwriter\n\nCompany Name\n\n', 'Commercial Auto Underwriter\n\nCompany Name\n\n', 'Personal Auto Underwriter\n\nCompany Name\n\n', 'Claims Examiner\n\nCompany Name\n\n']","['2011to2015', '2008to2010', '2006to2008', '2004to2006', '2001to2004', '1983to2001']",0,False
284,"['GENERAL MANAGER\n\nCompany Name\n\n', 'ADMINISTRATIVE SECRETARY ASSISTANT, FUNDRAISING COORDINATOR\n\nCompany Name\n\n', 'ASSISTANT MANAGER\n\nCompany Name\n\n']","['2015to2024', '2013to2015', '2007to2015']",0,False
285,"['Operations Manager\n\nCompany Name\n', 'Operations Manager\n\nCompany Name\n', 'Administrator\n\nCompany Name\n']","['2016to2024', '2016to2016', '2015to2015']",0,False
286,"['Finance Director\n\nCompany Name\n\n', 'Finance Officer\n\nCompany Name\n\n', 'Accounting Staff\n\nCompany Name\n\n']","['2003to2014', '2000to2013', '1999to2000']",0,False
291,"['Fitness Instructor\n\nCompany Name\n', 'Sales Associate\n\nCompany Name\n', 'Sterilization Technician\n\nCompany Name\n']","['2017to2024', '2015to2016', '2014to2015']",0,False
292,"['Company Name\n\nFinance Specialist\n', 'Company Name\n\nCMA Analyst\n\n', 'Trade-spend and trade promotions reconciliationCompany Name\n\nCredit Representative II\n\n', 'Company Name\n\nCredit Representative I - Contractor\n\n', 'Company Name\n\nA/R Manager\n\n', 'Company Name\n\nAccounts Receivables\n\n', 'Company Name\n\nDepartment Manager - A/R Unit and Collections\n\n']","['2013to2015', '2011to2013', '2010to2011', '2009to2010', '2007to2008', '2007to2007', '2004to2007']",0,False
295,"['Organized, prioritized and managed plant maintenance projects to keep facility safe, efficient and clean.\nENGINEERING LAB MANAGER\n\n', 'stream leaders, quality engineers and manufacturing engineers.\nMACHINIST/ASSEMBLER\n\n']","['1997to2014', '1993to1997']",0,False
296,"['Administrative Assistant\n\nCompany Name\n\n', 'Multi-Media/Graphic Arts Secretary\n\nCompany Name\n\n', 'Point of Sale Manager\n\nCompany Name\n\n', 'Senior Secretary\n\nCompany Name\n\n', 'Executive Secretary\n\nCompany Name\n\n', 'Multi-Media/Graphic Arts Secretary\n\nCompany Name\n\n', 'Executive Assistant\n\nCompany Name\n\n', 'Administrative Assistant\n\nCompany Name\n\n', 'Point of Sale Manager\n\nCompany Name\n\n']","['2013to2024', '2009to2013', '2008to2009', '1997to2008', '1997to2008', '1996to1997', '1996to1997', '1989to1995', '1989to1995']",0,False
298,"['Operations and Finance Manager\n\nCompany Name\n\n', 'Financial Analyst\n\nCompany Name\n\n', 'Labor Budget Analyst\n\nCompany Name\n\n', 'Manager of Collections and Enforcement\n\nCompany Name\n\n', 'Assistant Administrator\n\nCompany Name\n\n']","['2014to2024', '2012to2013', '2010to2012', '1999to2010', '1986to1999']",0,False
299,['Assistant Accountant\n\nCompany Name\n'],['2005to2024'],0,False
3,"['Company Name\n\nCity\n', 'Company Name\n\nCity\n', 'Company Name\n\nCity\n', 'Company Name\n\nCity\n']","['2013to2024', '2010to2013', '2006to2010', '2005to2006']",0,False
30,"['PROJECT ACCOUNTANT\n\nCompany Name\n\n', 'ASSISTANT TO VICE PRESIDENT\n\nCompany Name\n\n', 'OWNER\n\nCompany Name\n\n', 'ASSISTANT PROJECT MANAGER\n\nCompany Name\n\n', 'PROJECT MANAGER\n\nCompany Name\n\n', 'PROJECT COORDINATOR\n\nCompany Name\n\n', 'EXECUTIVE ASSISTANT\n\nCompany Name\n\n']","['2003to2024', '1996to1999', '1994to1996', '1992to1994', '1989to1992', '1985to1989', '1983to1985']",4,True
300,"['Company Name\n\nï¼\u200b\n', 'Company Name\n\nï¼\u200b\n', 'Company Name\n\nï¼\u200b\n']","['2011to2024', '2010to2012', '2007to2010']",0,False
301,"['Company Name\n\n-\n', 'Company Name\n\n-\n', 'Company Name\n\n-\n', 'Company Name\n\n-\n']","['2013to2024', '2006to2013', '2003to2006', '2001to2001']",0,False
302,"['HR Manager\n\nCompany Name\n', 'Human Resources Consultant\n\nCompany Name\n', 'Human Resources Manager\n\nCompany Name\n']","['2013to2024', '2005to2012', '2001to2005']",0,False
303,"['HR Clerk\n\nCompany Name\n', 'Administrative Coordinator\n\nCompany Name\n', 'Administrative Assistant/Bookkeeper\n\nCompany Name\n', 'Clerical II\n\nCompany Name\n', 'Executive Secretary\n\nCompany Name\n']","['2016to2024', '2012to2015', '2010to2012', '2000to2010', '1983to1999']",0,False
304,"['Staff Accountant\n\nCompany Name\n', 'Federal Accountant\n\nCompany Name\n', 'Resource Officer\n\nCompany Name\n', 'Financial Management Resource Analyst\n\nCompany Name\n']","['2015to2016', '2012to2015', '2003to2011', '1987to2003']",0,False
307,"['Director, Finance\n\nCompany Name\n\n', 'Senior Manager, Acquisition Integration\n\nCompany Name\n\n', 'Senior Manager, Finance\n\nCompany Name\n\n', 'Program Manager, Finance\n\nCompany Name\n\n', 'Manager, Finance\n\nCompany Name\n\n', 'Senior Financial Analyst, Finance\n\nCompany Name\n\n', 'Competitive Pricing Analyst, Finance\n\nCompany Name\n\n', 'Cost Schedule Analyst\n\nCompany Name\n\n']","['2010to2024', '2008to2010', '2003to2008', '2001to2003', '1998to2001', '1996to1998', '1993to1996', '1990to1992']",0,False
309,"['Company Name\n\nHR Director/Administrator\n\n', 'Company Name\n\nExecutive Administrator\n\n', 'Company Name\n\nSenior Administrator\n\n', 'Company Name\n\nAdministrative Assistant\n\n', 'Company Name\n\nAdministrative Assistant\n\n']","['2015to2024', '2013to2015', '2010to2013', '2005to2006', '2001to2002']",0,False
310,"['Accountant\n\nCompany Name\n\n', 'District Administrative Manager\n\nCompany Name\n\n', 'Business Manager\n\nCompany Name\n\n', 'Staffing Manager\n\nCompany Name\n\n', 'Accounting Manager\n\nCompany Name\n\n', 'General Merchandise Department Manager\n\nCompany Name\n\n', 'Accounting Software Consultant\n\nCompany Name\n\n', 'Accountant\n\nCompany Name\n\n']","['2014to2015', '2014to2014', '2005to2014', '2003to2004', '2002to2002', '2000to2002', '1999to2000', '1998to2000']",0,False
312,"['Director of Information Technology\n\nCompany Name\n', 'Network Engineer/I.T. Manager\n\nCompany Name\n', 'Network Administrator/Help Desk Manager\n\nCompany Name\n']","['2015to2024', '2013to2015', '2010to2013']",0,False
315,"['State\n\nAccountant\n\n', 'State\n\nStaff Accountant\n\n', 'State\n\nStaff Accountant\n\n', 'State\n\nAccounting Assistant\n\n']","['2012to2024', '2008to2012', '2006to2008', '2005to2006']",0,False
318,"['Finance Manager\n\nCompany Name\n\n', 'Project Manager\n\nCompany Name\n\n', 'Bookkeeper\n\nCompany Name\n\n', 'Operations Manager\n\nCompany Name\n\n', 'Service Administrator\n\nCompany Name\n\n', 'Office Manager\n\nCompany Name\n\n']","['2015to2024', '2014to2014', '2014to2014', '2011to2014', '2008to2011', '2006to2007']",0,False
